Frame,Visibility,X,Y,Time
90,1,620.0,392.0,00:00:06.066666666666666
91,1,669.0,337.0,00:00:06.133333333333333
92,1,718.0,297.0,00:00:06.2
93,1,763.0,263.0,00:00:06.266666666666667
94,1,805.0,242.0,00:00:06.333333333333333
95,1,848.0,232.0,00:00:06.4
96,1,901.0,225.0,00:00:06.466666666666667
97,1,943.0,236.0,00:00:06.533333333333333
98,1,977.0,253.0,00:00:06.6
99,1,1009.0,276.0,00:00:06.666666666666667
100,1,1039.0,308.0,00:00:06.733333333333333
101,1,1071.0,350.0,00:00:06.8
102,1,1096.0,388.0,00:00:06.866666666666666
103,1,1123.0,439.0,00:00:06.933333333333334
104,1,1145.0,498.0,00:00:07.0
105,0,1042.0,423.00000000000017,00:00:07.066666666666666
106,1,939.0,348.0,00:00:07.133333333333333
107,1,862.0,299.0,00:00:07.2
108,1,805.0,268.0,00:00:07.266666666666667
109,1,731.0,238.0,00:00:07.333333333333333
110,1,695.0,234.0,00:00:07.3999999999999995
111,1,663.0,234.0,00:00:07.466666666666667
112,1,639.0,244.0,00:00:07.533333333333333
113,1,616.0,259.0,00:00:07.6
114,1,597.0,276.0,00:00:07.666666666666667
115,1,582.0,297.0,00:00:07.733333333333333
116,1,569.0,323.0,00:00:07.8
117,1,559.0,350.0,00:00:07.866666666666666
118,1,552.0,386.0,00:00:07.933333333333334
119,1,546.0,418.0,00:00:08.0
120,1,544.0,449.0,00:00:08.066666666666666
121,1,589.0,434.0,00:00:08.133333333333333
122,1,679.0,372.99999999999955,00:00:08.2
123,1,769.0,312.0,00:00:08.266666666666666
124,0,827.5,285.5,00:00:08.333333333333334
125,1,886.0,259.0,00:00:08.4
126,1,941.0,247.0,00:00:08.466666666666667
127,1,986.0,242.0,00:00:08.533333333333333
128,1,1032.0,247.0,00:00:08.6
129,1,1073.0,255.0,00:00:08.666666666666666
130,1,1113.0,274.0,00:00:08.733333333333333
131,1,1153.0,295.0,00:00:08.8
132,1,1189.0,325.0,00:00:08.866666666666667
133,1,1223.0,361.0,00:00:08.933333333333334
134,1,1251.0,403.0,00:00:09.0
135,1,1291.0,470.0,00:00:09.066666666666666
136,1,1151.6666666666667,351.12651941194224,00:00:09.133333333333333
137,1,1012.3333333333333,295.82987999346756,00:00:09.2
138,1,873.0,297.0,00:00:09.266666666666666
139,1,807.0,276.0,00:00:09.333333333333334
140,1,750.0,270.0,00:00:09.4
141,1,703.0,266.0,00:00:09.466666666666667
142,1,667.0,270.0,00:00:09.533333333333333
143,1,631.0,278.0,00:00:09.6
144,1,605.0,293.0,00:00:09.666666666666666
145,1,580.0,310.0,00:00:09.733333333333333
146,1,561.0,333.0,00:00:09.8
147,1,544.0,361.0,00:00:09.866666666666667
148,1,525.0,403.0,00:00:09.933333333333334
149,1,516.0,430.0,00:00:10.0
150,1,610.0,361.0,00:00:10.066666666666666
151,1,678.0,316.0,00:00:10.133333333333333
152,1,743.0,285.0,00:00:10.2
153,1,801.0,261.0,00:00:10.266666666666666
154,1,860.0,244.0,00:00:10.333333333333334
155,1,907.0,238.0,00:00:10.4
156,1,954.0,238.0,00:00:10.466666666666667
157,1,1000.0,247.0,00:00:10.533333333333333
158,1,1039.0,259.0,00:00:10.6
159,1,1081.0,280.0,00:00:10.666666666666666
160,1,1115.0,308.0,00:00:10.733333333333333
161,1,1166.0,356.0,00:00:10.8
162,1,1196.0,401.0,00:00:10.866666666666667
163,1,1225.0,445.0,00:00:10.933333333333334
164,1,1249.0,496.0,00:00:11.0
165,1,1117.3333333333333,402.1329774693297,00:00:11.066666666666666
166,1,985.6666666666667,357.4663246049681,00:00:11.133333333333333
167,1,854.0,344.0,00:00:11.2
168,1,771.0,323.0,00:00:11.266666666666666
169,1,705.0,306.0,00:00:11.333333333333334
170,1,648.0,301.0,00:00:11.4
171,1,599.0,306.0,00:00:11.466666666666667
172,1,559.0,312.0,00:00:11.533333333333333
173,1,525.0,327.0,00:00:11.6
174,1,484.0,354.0,00:00:11.666666666666666
175,1,461.0,377.0,00:00:11.733333333333333
176,1,440.0,407.0,00:00:11.8
177,1,425.0,438.5,00:00:11.866666666666667
178,1,410.0,470.0,00:00:11.933333333333334
179,1,474.0,432.0,00:00:12.0
180,1,541.0,388.99999999999983,00:00:12.066666666666666
181,1,608.0,346.0,00:00:12.133333333333333
182,1,667.0,318.0,00:00:12.2
183,1,726.0,301.0,00:00:12.266666666666666
184,1,773.0,293.0,00:00:12.333333333333334
185,1,819.0,296.99999999999994,00:00:12.4
186,1,865.0,301.0,00:00:12.466666666666667
187,1,926.0,325.0,00:00:12.533333333333333
188,1,968.0,352.0,00:00:12.6
189,1,1002.0,382.0,00:00:12.666666666666666
190,1,1037.0,422.0,00:00:12.733333333333333
191,1,1070.0,466.0,00:00:12.8
192,1,1102.0,517.0,00:00:12.866666666666667
193,1,1126.0,567.0,00:00:12.933333333333334
194,1,1031.5,489.0,00:00:13.0
195,1,937.0,411.0,00:00:13.066666666666666
196,1,873.0,361.0,00:00:13.133333333333333
197,1,822.0,327.0,00:00:13.2
198,1,780.0,306.0,00:00:13.266666666666666
199,1,744.0,295.0,00:00:13.333333333333334
200,1,707.0,291.0,00:00:13.4
201,0,686.6666666666666,298.5314258734711,00:00:13.466666666666667
202,0,666.3333333333334,312.7863505097266,00:00:13.533333333333333
203,1,646.0,327.0,00:00:13.6
204,1,629.0,350.0,00:00:13.666666666666666
205,1,620.0,375.0,00:00:13.733333333333333
206,1,605.0,405.0,00:00:13.799999999999999
207,1,601.0,434.0,00:00:13.866666666666667
208,1,595.0,466.0,00:00:13.933333333333334
209,1,591.0,502.0,00:00:14.0
210,1,591.0,538.0,00:00:14.066666666666666
211,1,671.0,475.0,00:00:14.133333333333333
212,1,737.0,428.0,00:00:14.2
213,1,814.0,386.0,00:00:14.266666666666666
214,1,865.0,365.0,00:00:14.333333333333334
215,1,916.0,348.0,00:00:14.4
216,1,960.0,344.0,00:00:14.466666666666667
217,1,1000.0,344.0,00:00:14.533333333333333
218,1,1041.0,350.0,00:00:14.6
219,1,1079.0,365.0,00:00:14.666666666666666
220,1,1117.0,386.0,00:00:14.733333333333333
221,1,1149.0,413.50000000000057,00:00:14.799999999999999
222,1,1181.0,441.0,00:00:14.866666666666667
223,1,1210.0,481.0,00:00:14.933333333333334
224,1,1236.0,523.0,00:00:15.0
225,1,1147.0,502.0,00:00:15.066666666666666
226,1,981.0,428.0,00:00:15.133333333333333
227,1,890.0,403.0,00:00:15.2
228,1,822.0,386.0,00:00:15.266666666666666
229,1,771.0,381.4999999999999,00:00:15.333333333333334
230,1,720.0,377.0,00:00:15.4
231,1,680.0,382.0,00:00:15.466666666666667
232,1,648.0,392.0,00:00:15.533333333333333
233,1,622.0,407.0,00:00:15.6
234,1,595.0,426.0,00:00:15.666666666666666
235,1,574.0,449.0,00:00:15.733333333333333
236,1,553.0,475.0,00:00:15.799999999999999
237,1,622.0,449.0,00:00:15.866666666666667
238,1,684.0,437.0,00:00:15.933333333333334
239,1,758.0,432.0,00:00:16.0
240,1,807.0,437.0,00:00:16.066666666666666
241,1,852.0,449.0,00:00:16.133333333333333
242,1,899.0,466.0,00:00:16.2
243,1,939.0,491.0,00:00:16.266666666666666
244,1,979.0,521.0,00:00:16.333333333333332
245,1,1017.0,555.0,00:00:16.4
246,1,1053.0,597.0,00:00:16.466666666666665
247,1,1081.0,641.0,00:00:16.53333333333333
248,1,1045.0,622.0,00:00:16.6
249,1,973.0,535.4999999999995,00:00:16.666666666666668
250,1,901.0,449.0,00:00:16.733333333333334
251,1,856.0,407.0,00:00:16.8
252,1,807.0,369.0,00:00:16.866666666666667
253,1,778.0,354.0,00:00:16.933333333333334
254,1,752.0,344.0,00:00:17.0
255,1,733.0,342.0,00:00:17.066666666666666
256,1,712.0,348.0,00:00:17.133333333333333
257,1,697.0,361.0,00:00:17.2
258,1,682.0,377.0,00:00:17.266666666666666
259,1,673.0,396.0,00:00:17.333333333333332
260,1,665.0,422.0,00:00:17.4
261,1,657.0,449.0,00:00:17.466666666666665
262,1,652.0,481.0,00:00:17.53333333333333
263,1,648.0,515.0,00:00:17.6
264,1,678.0,502.0,00:00:17.666666666666668
265,1,739.0,434.0,00:00:17.733333333333334
266,1,771.0,392.0,00:00:17.8
267,1,809.0,363.0,00:00:17.866666666666667
268,1,845.0,339.0,00:00:17.933333333333334
269,1,877.0,327.0,00:00:18.0
270,1,907.0,318.0,00:00:18.066666666666666
271,1,939.0,318.0,00:00:18.133333333333333
272,1,968.0,327.0,00:00:18.2
273,1,996.0,339.0,00:00:18.266666666666666
274,1,1022.0,361.0,00:00:18.333333333333332
275,1,1047.0,386.0,00:00:18.4
276,1,1075.0,420.0,00:00:18.466666666666665
277,1,1096.0,460.0,00:00:18.53333333333333
278,1,1119.0,508.0,00:00:18.6
279,1,1138.0,555.0,00:00:18.666666666666668
280,0,1103.0,554.0,00:00:18.733333333333334
281,1,1068.0,553.0,00:00:18.8
282,1,973.0,373.2712684056596,00:00:18.866666666666667
283,1,878.0,315.31390642038514,00:00:18.933333333333334
284,1,783.0,314.89118479646004,00:00:19.0
285,1,688.0,372.00310353388477,00:00:19.066666666666666
286,1,593.0,593.0,00:00:19.133333333333333
287,1,589.0,563.0,00:00:19.2
288,1,614.0,263.0,00:00:19.266666666666666
289,1,586.0,268.0,00:00:19.333333333333332
290,1,557.0,276.0,00:00:19.4
291,1,529.0,293.0,00:00:19.466666666666665
292,1,508.0,312.0,00:00:19.53333333333333
293,1,493.0,337.0,00:00:19.6
294,1,478.0,367.0,00:00:19.666666666666668
295,1,466.0,394.0,00:00:19.733333333333334
296,1,457.0,428.0,00:00:19.8
297,1,449.0,462.0,00:00:19.866666666666667
298,1,533.0,401.0,00:00:19.933333333333334
299,1,616.0,350.0,00:00:20.0
300,1,684.0,308.0,00:00:20.066666666666666
301,1,744.0,280.0,00:00:20.133333333333333
302,1,801.0,261.0,00:00:20.2
303,1,852.0,253.0,00:00:20.266666666666666
304,1,913.0,249.0,00:00:20.333333333333332
305,1,956.0,255.0,00:00:20.4
306,1,998.0,268.0,00:00:20.466666666666665
307,1,1039.0,289.0,00:00:20.53333333333333
308,1,1077.0,314.0,00:00:20.6
309,1,1109.0,346.0,00:00:20.666666666666668
310,1,1141.0,382.0,00:00:20.733333333333334
311,1,1170.0,424.0,00:00:20.8
312,1,1196.0,466.0,00:00:20.866666666666667
313,1,1221.0,517.0,00:00:20.933333333333334
314,1,1240.0,565.0,00:00:21.0
315,1,0.0,0.0,00:00:21.066666666666666
316,1,0.0,0.0,00:00:21.133333333333333
317,1,0.0,0.0,00:00:21.2
318,1,0.0,0.0,00:00:21.266666666666666
319,1,0.0,0.0,00:00:21.333333333333332
320,1,0.0,0.0,00:00:21.4
321,1,0.0,0.0,00:00:21.466666666666665
322,1,0.0,0.0,00:00:21.53333333333333
323,1,0.0,0.0,00:00:21.6
324,1,0.0,0.0,00:00:21.666666666666668
325,1,0.0,0.0,00:00:21.733333333333334
326,1,0.0,0.0,00:00:21.8
327,1,0.0,0.0,00:00:21.866666666666667
328,1,0.0,0.0,00:00:21.933333333333334
329,1,451.0,356.0,00:00:22.0
330,1,438.0,403.0,00:00:22.066666666666666
331,1,432.0,437.0,00:00:22.133333333333333
332,1,427.0,472.0,00:00:22.2
333,1,512.0,430.0,00:00:22.266666666666666
334,1,612.0,380.0,00:00:22.333333333333332
335,1,601.0,405.0,00:00:22.4
336,1,765.0,304.0,00:00:22.466666666666665
337,0,826.5,287.9999999999999,00:00:22.53333333333333
338,1,888.0,272.0,00:00:22.6
339,1,943.0,270.0,00:00:22.666666666666668
340,1,990.0,272.0,00:00:22.733333333333334
341,1,1036.0,285.0,00:00:22.8
342,1,1077.0,301.0,00:00:22.866666666666667
343,1,1126.0,331.0,00:00:22.933333333333334
344,1,1164.0,363.0,00:00:23.0
345,1,1198.0,401.0,00:00:23.066666666666666
346,1,1230.0,441.0,00:00:23.133333333333333
347,1,1261.0,487.0,00:00:23.2
348,1,1187.0,485.0,00:00:23.266666666666666
349,1,1045.6666666666667,402.4887129134346,00:00:23.333333333333332
350,1,904.3333333333333,349.2027096668764,00:00:23.4
351,1,763.0,287.0,00:00:23.466666666666665
352,1,690.0,263.0,00:00:23.53333333333333
353,1,636.0,255.00000000000006,00:00:23.6
354,1,582.0,247.0,00:00:23.666666666666668
355,1,540.0,249.0,00:00:23.733333333333334
356,1,497.0,263.0,00:00:23.8
357,1,470.0,274.0,00:00:23.866666666666667
358,1,446.0,291.0,00:00:23.933333333333334
359,1,425.0,314.0,00:00:24.0
360,1,408.0,342.0,00:00:24.066666666666666
361,1,395.0,371.0,00:00:24.133333333333333
362,1,383.0,403.0,00:00:24.2
363,1,372.0,432.0,00:00:24.266666666666666
364,1,366.0,468.0,00:00:24.333333333333332
365,1,468.0,369.9999999999999,00:00:24.4
366,1,570.0,272.0,00:00:24.466666666666665
367,1,639.0,213.0,00:00:24.53333333333333
368,1,701.0,162.0,00:00:24.6
369,1,758.5,130.5000000000001,00:00:24.666666666666668
370,1,816.0,99.0,00:00:24.733333333333334
371,1,862.0,80.0,00:00:24.8
372,1,903.0,80.0,00:00:24.866666666666667
373,1,947.0,82.0,00:00:24.933333333333334
374,1,988.0,86.0,00:00:25.0
375,1,1022.0,103.0,00:00:25.066666666666666
376,1,1056.0,128.0,00:00:25.133333333333333
377,1,1087.0,156.0,00:00:25.2
378,1,1117.0,192.0,00:00:25.266666666666666
379,1,1143.0,232.0,00:00:25.333333333333332
380,1,1168.0,280.0,00:00:25.4
381,1,1191.0,327.0,00:00:25.466666666666665
382,1,1215.0,390.0,00:00:25.53333333333333
383,1,1232.0,443.0,00:00:25.6
384,0,1128.5,326.2597708779171,00:00:25.666666666666668
385,1,1025.0,261.60323512566566,00:00:25.733333333333334
386,1,921.5,210.76600012156467,00:00:25.8
387,1,818.0,192.0,00:00:25.866666666666667
388,1,752.0,158.0,00:00:25.933333333333334
389,1,699.0,137.0,00:00:26.0
390,1,654.0,124.0,00:00:26.066666666666666
391,1,620.0,120.0,00:00:26.133333333333333
392,1,587.0,120.0,00:00:26.2
393,1,559.0,130.0,00:00:26.266666666666666
394,1,536.0,145.0,00:00:26.333333333333332
395,1,514.0,164.0,00:00:26.4
396,1,503.0,184.39802116656028,00:00:26.466666666666665
397,1,492.0,210.7600930136432,00:00:26.53333333333333
398,1,481.0,242.5596657317783,00:00:26.599999999999998
399,0,470.0,279.79673932096466,00:00:26.666666666666668
400,1,459.0,310.0,00:00:26.733333333333334
401,1,453.0,344.0,00:00:26.8
402,1,448.0,384.0,00:00:26.866666666666667
403,1,448.0,422.0,00:00:26.933333333333334
404,1,444.0,462.0,00:00:27.0
405,0,531.0,430.4999999999999,00:00:27.066666666666666
406,1,618.0,399.0,00:00:27.133333333333333
407,1,699.0,371.0,00:00:27.2
408,1,784.0,350.0,00:00:27.266666666666666
409,1,841.0,344.0,00:00:27.333333333333332
410,1,896.0,344.0,00:00:27.4
411,1,943.0,348.0,00:00:27.466666666666665
412,1,986.0,363.0,00:00:27.53333333333333
413,1,1030.0,382.0,00:00:27.599999999999998
414,1,1073.0,411.0,00:00:27.666666666666668
415,1,1109.0,443.0,00:00:27.733333333333334
416,1,1143.0,481.9999999999999,00:00:27.8
417,1,1177.0,521.0,00:00:27.866666666666667
418,0,1099.0,457.7559347393044,00:00:27.933333333333334
419,0,1021.0,418.2582693129277,00:00:28.0
420,1,943.0,405.0,00:00:28.066666666666666
421,1,869.0,369.0,00:00:28.133333333333333
422,1,826.5,358.49999999999983,00:00:28.2
423,1,784.0,348.0,00:00:28.266666666666666
424,1,756.0,350.0,00:00:28.333333333333332
425,1,729.0,358.0,00:00:28.4
426,1,710.0,367.0,00:00:28.466666666666665
427,1,693.0,384.0,00:00:28.53333333333333
428,1,678.0,403.0,00:00:28.599999999999998
429,1,667.0,424.0,00:00:28.666666666666668
430,1,656.0,449.0,00:00:28.733333333333334
431,1,648.0,475.0,00:00:28.8
432,1,644.0,504.0,00:00:28.866666666666667
433,1,639.0,534.0,00:00:28.933333333333334
434,1,708.0,483.0,00:00:29.0
435,1,778.0,415.0,00:00:29.066666666666666
436,1,839.0,367.0,00:00:29.133333333333333
437,1,896.0,325.0,00:00:29.2
438,1,941.0,293.0,00:00:29.266666666666666
439,1,988.0,272.0,00:00:29.333333333333332
440,1,1032.0,261.0,00:00:29.4
441,1,1068.0,251.0,00:00:29.466666666666665
442,1,1111.0,257.0,00:00:29.53333333333333
443,1,1143.0,266.0,00:00:29.599999999999998
444,1,1177.0,280.0,00:00:29.666666666666668
445,1,1211.0,306.0,00:00:29.733333333333334
446,1,1242.0,335.0,00:00:29.8
447,1,1276.0,380.0,00:00:29.866666666666667
448,1,1298.0,420.0,00:00:29.933333333333334
449,1,1323.0,470.0,00:00:30.0
450,0,1207.0,402.195958245425,00:00:30.066666666666666
451,1,1091.0,381.1640166951651,00:00:30.133333333333333
452,1,975.0,388.0,00:00:30.2
453,1,882.0,369.0,00:00:30.266666666666666
454,1,821.0,364.9999999999999,00:00:30.333333333333332
455,1,760.0,361.0,00:00:30.4
456,1,716.0,361.0,00:00:30.466666666666665
457,1,680.0,371.0,00:00:30.53333333333333
458,1,644.0,386.0,00:00:30.599999999999998
459,1,618.0,405.0,00:00:30.666666666666668
460,1,591.0,430.0,00:00:30.733333333333334
461,1,572.0,456.0,00:00:30.8
462,1,557.0,483.0,00:00:30.866666666666667
463,1,546.0,515.0,00:00:30.933333333333334
464,1,535.0,551.0,00:00:31.0
465,1,525.0,582.0,00:00:31.066666666666666
466,1,523.0,618.0,00:00:31.133333333333333
467,1,516.0,652.0,00:00:31.2
468,1,510.0,673.0,00:00:31.266666666666666
469,1,508.0,667.0,00:00:31.333333333333332
470,1,501.0,662.0,00:00:31.4
471,1,493.0,673.0,00:00:31.466666666666665
472,1,493.0,681.0,00:00:31.53333333333333
473,1,491.0,688.0,00:00:31.599999999999998
